# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan 20 08:11:24 2023
#
# User preference: *
#
# CONSTRAINT:  where (sy_pnum > 1)
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_instrument: Discovery Instrument
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_occdep:      Occultation Depth [%]
# COLUMN pl_orbtper:     Epoch of Periastron [days]
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_projobliq:   Projected Obliquity [deg]
# COLUMN pl_trueobliq:   True Obliquity [deg]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_instrument,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,sy_dist,sy_gaiamag
Kepler-215 b,Kepler-215,1,4,Transit,2014,Kepler CCD Array,9.36067200,0.084000,1.620,0.145,3.26000,0.01020,M-R relationship,4.210000,0.000000,105.07,784,86.690,2455004.967190,0,0.5800,0.023650,3.0350000,21.948000,0.01471,,,,,,,,5739.00,1.03,0.94,-0.443,[M/H],-0.117,4.36,1.620,0.58171,,,,19h39m53.65s,294.9735313,+45d12m49.27s,45.2136867,485.9970000,13.5549000
Kepler-215 c,Kepler-215,1,4,Transit,2014,Kepler CCD Array,14.66710800,0.113000,1.770,0.158,3.78000,0.01190,M-R relationship,3.750000,0.000000,57.69,675,88.610,2454978.423810,0,0.8500,0.019810,3.8550000,29.609000,0.01350,,,,,,,,5739.00,1.03,0.94,-0.443,[M/H],-0.117,4.36,1.620,1.45716,,,,19h39m53.65s,294.9735313,+45d12m49.27s,45.2136867,485.9970000,13.5549000
Kepler-215 d,Kepler-215,1,4,Transit,2014,Kepler CCD Array,30.86442300,0.185000,2.390,0.213,23.60000,0.07400,Mass,9.500000,0.000000,21.40,527,88.930,2455005.933090,1,0.1500,0.055130,2.7190000,48.621000,0.02418,,,,,,,,5739.00,1.03,0.94,-0.443,[M/H],-0.117,4.36,1.620,8.36305,,,,19h39m53.65s,294.9735313,+45d12m49.27s,45.2136867,485.9970000,13.5549000
Kepler-215 e,Kepler-215,1,4,Transit,2014,Kepler CCD Array,68.16101000,0.314000,1.750,0.156,3.71000,0.01170,M-R relationship,3.800000,0.000000,7.44,405,89.680,2455020.032470,0,0.2800,0.029560,5.6540000,82.454000,0.01599,,,,,,,,5739.00,1.03,0.94,-0.443,[M/H],-0.117,4.36,1.620,2.35964,,,,19h39m53.65s,294.9735313,+45d12m49.27s,45.2136867,485.9970000,13.5549000
Kepler-431 b,Kepler-431,1,3,Transit,2015,Kepler CCD Array,6.80300000,0.071900,0.764,0.068,0.37000,0.00117,M-R relationship,4.560000,0.000000,577.54,1032,80.510,2454971.047800,0,0.2950,0.003270,4.6080000,4.600000,0.00640,,,,,,,,6004.00,1.09,1.07,0.070,[Fe/H],0.498,4.40,4.340,0.35793,,,-9.00,18h44m26.95s,281.1123072,+43d13m39.96s,43.2277663,486.5460000,11.9291000
Kepler-431 c,Kepler-431,1,3,Transit,2015,Kepler CCD Array,8.70300000,0.084700,0.668,0.060,0.22900,0.00072,M-R relationship,4.220000,0.000000,415.55,951,82.350,2454973.155310,0,0.0865,0.003200,4.8070000,6.650000,0.00560,,,,,,,,6004.00,1.09,1.07,0.070,[Fe/H],0.498,4.40,4.340,0.35793,,,-9.00,18h44m26.95s,281.1123072,+43d13m39.96s,43.2277663,486.5460000,11.9291000
Kepler-431 d,Kepler-431,1,3,Transit,2015,Kepler CCD Array,11.92200000,0.104500,1.110,0.100,1.41000,0.00444,M-R relationship,5.670000,0.000000,272.84,856,82.510,2454970.471900,0,0.1852,0.004320,4.9320000,4.600000,0.00930,,,,,,,,6004.00,1.09,1.07,0.070,[Fe/H],0.498,4.40,4.340,0.35793,,,-9.00,18h44m26.95s,281.1123072,+43d13m39.96s,43.2277663,486.5460000,11.9291000
Kepler-326 b,Kepler-326,1,3,Transit,2014,Kepler CCD Array,2.24832900,0.032000,1.520,0.136,44.60000,0.14000,Mass,69.800000,0.000000,783.45,1127,89.970,2454966.424210,0,0.8800,0.026320,2.0710000,8.744100,0.01489,,,,,,,,5105.00,0.80,0.85,0.239,[M/H],-0.157,4.56,14.000,2.50206,,,,19h37m18.14s,294.3255898,+46d00m08.15s,46.0022646,487.6750000,13.6788000
Kepler-326 c,Kepler-326,1,3,Transit,2014,Kepler CCD Array,4.58035800,0.051000,1.400,0.125,17.40000,0.05500,Mass,34.800000,0.000000,303.62,889,88.600,2454967.076050,0,0.2600,0.030830,2.1420000,16.777000,0.01602,,,,,,,,5105.00,0.80,0.85,0.239,[M/H],-0.157,4.56,14.000,4.25805,,,,19h37m18.14s,294.3255898,+46d00m08.15s,46.0022646,487.6750000,13.6788000
Kepler-326 d,Kepler-326,1,3,Transit,2014,Kepler CCD Array,6.76688800,0.066000,1.210,0.108,6.90000,0.02200,Mass,21.400000,0.000000,180.64,781,88.430,2454969.616050,0,0.2200,0.024930,1.6310000,31.420000,0.01394,,,,,,,,5105.00,0.80,0.85,0.239,[M/H],-0.157,4.56,14.000,12.80903,,,,19h37m18.14s,294.3255898,+46d00m08.15s,46.0022646,487.6750000,13.6788000
Kepler-318 b,Kepler-318,1,2,Transit,2014,Kepler CCD Array,4.66271500,0.056000,4.710,0.420,19.90000,0.06270,M-R relationship,1.050000,0.000000,333.15,1039,87.660,2454967.081790,0,0.0700,0.161940,2.7460000,13.444000,0.03667,,,,,,,,5746.00,1.19,1.02,0.332,[M/H],0.004,4.33,1.620,2.11450,,,,19h53m55.88s,298.4828337,+46d47m37.09s,46.7936357,489.1410000,13.2810000
Kepler-318 c,Kepler-318,1,2,Transit,2014,Kepler CCD Array,11.81500700,0.105000,3.680,0.328,13.10000,0.04130,M-R relationship,1.440000,0.000000,96.51,762,87.150,2454966.089650,0,0.0100,0.098430,2.5560000,36.756000,0.02857,,,,,,,,5746.00,1.19,1.02,0.332,[M/H],0.004,4.33,1.620,1.79265,,,,19h53m55.88s,298.4828337,+46d47m37.09s,46.7936357,489.1410000,13.2810000
K2-350 b,K2-350,1,2,Transit,2021,Kepler CCD Array,4.16387300,,1.540,0.137,2.99000,0.00940,M-R relationship,4.500000,,,1158,,2457219.277628,0,0.4100,,2.7500000,10.680000,0.01350,,,,,,,,5789.00,1.04,0.98,-0.020,[Fe/H],-0.012,4.39,,1.57032,,8.22,,13h36m08.52s,204.0355092,-14d00m33.31s,-14.0092516,489.3680000,13.3115000
K2-350 c,K2-350,1,2,Transit,2016,Kepler CCD Array,19.99194400,,2.740,0.244,7.95000,0.02500,M-R relationship,2.120000,,,687,,2457228.164968,0,0.4500,0.074800,4.9400000,28.710000,0.02390,,,,,,,,5789.00,1.04,0.98,-0.020,[Fe/H],-0.012,4.39,,1.57032,,8.22,,13h36m08.52s,204.0355092,-14d00m33.31s,-14.0092516,489.3680000,13.3115000
Kepler-1530 b,Kepler-1530,1,3,Transit,2016,Kepler CCD Array,2.59044340,0.037100,1.640,0.146,3.33000,0.01050,M-R relationship,4.150000,0.000000,353.56,1484,83.900,2454965.287100,0,0.1071,0.033090,2.1618000,9.280000,0.01692,,,,,,,,5477.00,0.88,0.92,0.030,[Fe/H],-0.311,4.52,4.270,2.25028,,,,19h12m38.99s,288.1624396,+48d09m54.55s,48.1651530,489.8760000,14.0055000
Kepler-1530 c,Kepler-1530,1,3,Transit,2016,Kepler CCD Array,5.32274060,0.060000,1.650,0.147,3.36000,0.01060,M-R relationship,4.110000,0.000000,135.18,1167,85.110,2454966.220300,1,0.0643,0.034240,2.5710000,9.420000,0.01686,,,,,,,,5477.00,0.88,0.92,0.030,[Fe/H],-0.311,4.52,4.270,2.76538,,,,19h12m38.99s,288.1624396,+48d09m54.55s,48.1651530,489.8760000,14.0055000
Kepler-1530 d,Kepler-1530,1,3,Transit,2021,Kepler CCD Array,9.20761013,0.086500,3.279,0.293,10.80000,0.03390,M-R relationship,1.680000,0.000000,211.08,972,85.300,2454968.801000,0,0.7434,0.124310,2.8892000,10.960000,0.03443,,,,,,,,5678.00,1.30,1.02,0.200,[Fe/H],-0.311,4.21,4.270,0.29352,,,,19h12m38.99s,288.1624396,+48d09m54.55s,48.1651530,489.8760000,14.0055000
Kepler-1050 b,Kepler-1050,1,2,Transit,2016,Kepler CCD Array,15.37875460,0.131300,1.600,0.143,3.19000,0.01000,M-R relationship,4.280000,0.000000,62.02,1039,89.140,2454976.410740,0,0.3590,0.019340,4.3730000,22.200000,0.01319,,,,,,,,6010.00,1.13,1.09,0.030,[Fe/H],0.059,4.37,3.550,1.35078,,,,18h51m42.00s,282.9249847,+48d37m35.05s,48.6264015,490.4880000,13.0723000
Kepler-1050 c,Kepler-1050,1,2,Transit,2016,Kepler CCD Array,21.12845690,0.162200,1.480,0.132,2.79000,0.00879,M-R relationship,4.730000,0.000000,40.64,935,89.480,2454982.279460,0,0.7800,0.017570,3.7890000,42.540000,0.01216,,,,,,,,6010.00,1.13,1.09,0.030,[Fe/H],0.059,4.37,3.550,1.35078,,,,18h51m42.00s,282.9249847,+48d37m35.05s,48.6264015,490.4880000,13.0723000
Kepler-103 b,Kepler-103,1,2,Transit,2014,Kepler CCD Array,15.96540000,0.126900,3.370,0.301,9.70000,0.03100,Mass,1.380000,0.030000,150.54,872,88.110,2454975.176140,1,0.7200,0.048610,4.5270000,27.471000,0.02150,,,,2.320,,,,5845.00,1.44,1.09,0.070,[Fe/H],0.424,4.16,5.700,0.52000,2.5000,,-28.28,19h15m56.29s,288.9845512,+40d03m52.15s,40.0644857,494.8320000,12.2466000
Kepler-103 c,Kepler-103,1,2,Transit,2014,Kepler CCD Array,179.61200000,0.637200,5.140,0.459,36.10000,0.11400,Mass,1.470000,0.020000,5.97,389,89.460,2455128.325810,1,0.4400,0.127880,13.7550000,84.300000,0.03277,,,,3.850,,,,5845.00,1.44,1.09,0.070,[Fe/H],0.424,4.16,5.700,0.52000,2.5000,,-28.28,19h15m56.29s,288.9845512,+40d03m52.15s,40.0644857,494.8320000,12.2466000
Kepler-198 b,Kepler-198,1,3,Transit,2014,Kepler CCD Array,17.79003700,0.131000,2.820,0.252,8.35000,0.02630,M-R relationship,2.050000,0.000000,44.55,655,89.660,2455015.436380,0,0.0300,0.095170,4.4780000,31.384000,0.02803,,,,,,,,5574.00,0.94,0.97,0.114,[M/H],-0.109,4.47,3.720,1.84772,,,,19h22m41.55s,290.6731326,+38d41m27.62s,38.6910045,495.3580000,13.5662000
Kepler-198 c,Kepler-198,1,3,Transit,2014,Kepler CCD Array,49.56741600,0.259000,2.470,0.220,6.66000,0.02100,M-R relationship,2.430000,0.000000,11.35,465,89.060,2455002.540010,0,0.4000,0.073070,3.6680000,62.000000,0.02833,,,,,,,,5574.00,0.94,0.97,0.114,[M/H],-0.109,4.47,3.720,1.12085,,,,19h22m41.55s,290.6731326,+38d41m27.62s,38.6910045,495.3580000,13.5662000
Kepler-198 d,Kepler-198,1,3,Transit,2016,Kepler CCD Array,1.31184443,0.022900,1.530,0.136,2.96000,0.00930,M-R relationship,4.540000,0.000000,1444.52,1562,88.780,2454966.109210,0,0.3800,0.026280,1.7729000,5.725000,0.01478,,,,,,,,5636.00,0.93,0.97,0.040,[Fe/H],-0.109,4.49,3.720,2.06258,,,,19h22m41.55s,290.6731326,+38d41m27.62s,38.6910045,495.3580000,13.5662000
EPIC 220554210 c,K2-282,1,2,Transit,2019,Kepler CCD Array,0.70531000,,1.600,0.143,3.19000,0.01000,M-R relationship,4.280000,,,,91.300,2457466.113100,0,0.2500,0.026200,1.7040000,3.000000,0.01450,,,,,,,,5499.00,1.00,0.94,-0.230,[Fe/H],-0.215,4.50,,1.44200,,,,00h53m43.72s,13.4321524,+07d59m43.05s,7.9952914,496.2890000,13.8183000
K2-282 b,K2-282,1,2,Transit,2018,Kepler CCD Array,4.16978300,0.049900,2.500,0.223,6.80000,0.02140,M-R relationship,2.390000,,,1057,90.100,2457457.544930,0,0.4000,0.093500,2.7312000,11.000000,0.02270,,,,,,,,5499.00,1.00,0.95,-0.230,[Fe/H],-0.215,4.50,,1.44200,,,,00h53m43.72s,13.4321524,+07d59m43.05s,7.9952914,496.2890000,13.8183000
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler CCD Array,34.16900000,0.194900,1.130,0.101,2.23000,0.00702,Mass,9.950000,0.000000,11.67,475,89.620,2454981.801900,0,0.4600,0.020380,4.4870000,57.900000,0.01223,,,,,,,,5233.00,0.84,0.90,0.080,[Fe/H],-0.308,4.53,0.800,1.85161,,,,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.5740000,14.0909000
Kepler-324 b,Kepler-324,1,4,Transit,2014,Kepler CCD Array,4.38531500,0.050000,1.140,0.102,1.55000,0.00489,M-R relationship,5.750000,0.000000,194.34,935,88.500,2454972.226560,0,0.3800,0.019850,2.4880000,13.470000,0.01278,,,,,,,,5194.00,0.84,0.87,0.030,[Fe/H],-0.308,4.53,0.800,2.04467,,,,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.5740000,14.0909000
Kepler-324 c,Kepler-324,1,4,Transit,2014,Kepler CCD Array,51.80561200,0.260000,3.150,0.281,10.10000,0.03170,M-R relationship,1.780000,0.000000,7.23,410,89.750,2455016.000490,1,0.8300,0.100390,6.5890000,23.100000,0.03030,,,,,,,,5194.00,0.84,0.87,0.030,[Fe/H],-0.308,4.53,0.800,0.08711,,,,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.5740000,14.0909000
Kepler-324 e,Kepler-324,1,4,Transit,2021,Kepler CCD Array,13.97939968,0.107400,2.039,0.182,4.81000,0.01510,M-R relationship,3.120000,0.000000,38.44,635,88.600,2454975.338290,0,0.9680,0.035610,1.2325000,25.000000,0.01730,,,,,,,,5191.00,0.83,0.84,0.080,[Fe/H],-0.308,4.53,0.800,5.19596,,,,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.5740000,14.0909000
Kepler-319 b,Kepler-319,1,3,Transit,2014,Kepler CCD Array,4.36270500,0.051000,1.630,0.145,3.29000,0.01040,M-R relationship,4.170000,0.000000,253.66,1023,86.030,2454968.230730,0,0.2600,0.033550,2.1940000,15.420000,0.01663,,,,,,,,5526.00,0.90,0.96,-0.015,[M/H],-0.181,4.49,3.550,3.64696,,,,19h15m14.87s,288.8119782,+39d46m14.32s,39.7706431,503.4360000,13.7908000
Kepler-319 c,Kepler-319,1,3,Transit,2014,Kepler CCD Array,6.94135700,0.069000,2.630,0.235,7.41000,0.02330,M-R relationship,2.240000,0.000000,136.34,876,86.780,2454970.542850,0,0.1300,0.086700,1.7910000,30.380000,0.02677,,,,,,,,5526.00,0.90,0.96,-0.015,[M/H],-0.181,4.49,3.550,11.00889,,,,19h15m14.87s,288.8119782,+39d46m14.32s,39.7706431,503.4360000,13.7908000
Kepler-319 d,Kepler-319,1,3,Transit,2014,Kepler CCD Array,31.78192500,0.191000,2.290,0.204,5.86000,0.01840,M-R relationship,2.680000,0.000000,17.96,528,89.850,2454967.866670,0,0.5500,0.062000,3.8630000,29.600000,0.02341,,,,,,,,5526.00,0.90,0.96,-0.015,[M/H],-0.181,4.49,3.550,3.14049,,,,19h15m14.87s,288.8119782,+39d46m14.32s,39.7706431,503.4360000,13.7908000
Kepler-121 b,Kepler-121,1,2,Transit,2014,Kepler CCD Array,3.17742200,0.039000,2.340,0.209,6.08000,0.01910,M-R relationship,2.610000,0.000000,220.49,997,85.790,2454967.477870,0,0.1100,0.113430,1.4750000,17.098000,0.03145,,,,,,,,5311.00,0.70,0.86,-0.080,[Fe/H],-0.474,4.65,0.500,9.36513,,,,19h04m38.91s,286.1621273,+39d40m40.87s,39.6780204,510.5230000,14.6770000
Kepler-121 c,Kepler-121,1,2,Transit,2014,Kepler CCD Array,41.00801100,0.216000,2.270,0.203,5.77000,0.01820,M-R relationship,2.710000,0.000000,7.30,425,88.720,2454980.034760,0,0.4900,0.100450,3.9780000,39.200000,0.03424,,,,,,,,5311.00,0.70,0.86,-0.080,[Fe/H],-0.474,4.65,0.500,0.77940,,,,19h04m38.91s,286.1621273,+39d40m40.87s,39.6780204,510.5230000,14.6770000
Kepler-241 b,Kepler-241,1,2,Transit,2014,Kepler CCD Array,12.71809200,0.094000,2.330,0.208,6.04000,0.01900,M-R relationship,2.620000,0.000000,23.60,562,89.170,2455008.354180,0,0.5400,0.114940,3.1170000,31.510000,0.03087,,,,,,,,4699.00,0.67,0.67,0.031,[M/H],-0.607,4.63,13.900,2.98907,,,,19h31m39.15s,292.9131121,+41d03m39.52s,41.0609786,512.0000000,15.3871000
Kepler-241 c,Kepler-241,1,2,Transit,2014,Kepler CCD Array,36.06597800,0.189000,2.570,0.229,7.13000,0.02240,M-R relationship,2.310000,0.000000,5.88,397,89.770,2455031.581850,0,0.0700,0.156380,4.2730000,65.370000,0.03528,,,,,,,,4699.00,0.67,0.67,0.031,[M/H],-0.607,4.63,13.900,3.78452,,,,19h31m39.15s,292.9131121,+41d03m39.52s,41.0609786,512.0000000,15.3871000
Kepler-112 b,Kepler-112,1,2,Transit,2014,Kepler CCD Array,8.40887800,0.076000,2.360,0.211,6.17000,0.01940,M-R relationship,2.580000,0.000000,123.82,809,89.950,2454967.006200,0,0.0400,0.079890,3.4850000,18.850000,0.02603,,,,,,,,5544.00,0.84,0.78,-0.522,[M/H],-0.086,4.51,9.400,1.75510,,,,19h47m55.47s,296.9811361,+43d12m34.93s,43.2097025,513.2060000,13.7662000
Kepler-112 c,Kepler-112,1,2,Transit,2014,Kepler CCD Array,28.57426300,0.172000,2.400,0.214,6.35000,0.02000,M-R relationship,2.520000,0.000000,24.25,538,89.910,2454976.830800,0,0.0800,0.082490,4.9630000,45.220000,0.02682,,,,,,,,5544.00,0.84,0.78,-0.522,[M/H],-0.086,4.51,9.400,2.14286,,,,19h47m55.47s,296.9811361,+43d12m34.93s,43.2097025,513.2060000,13.7662000
Kepler-1371 b,Kepler-1371,1,2,Transit,2016,Kepler CCD Array,3.44620390,0.039300,0.730,0.065,0.31500,0.00099,M-R relationship,4.450000,0.000000,414.76,1015,85.560,2454965.230520,0,0.1831,0.008350,2.0010000,13.050000,0.00818,,,,,,,,5361.00,0.83,0.87,-0.070,[Fe/H],-0.198,4.55,4.370,3.54402,,,,19h15m19.54s,288.8314251,+47d33m07.11s,47.5519753,515.3340000,13.8344000
Kepler-1371 c,Kepler-1371,1,2,Transit,2016,Kepler CCD Array,2.00541269,0.027400,0.640,0.057,0.19600,0.00062,M-R relationship,4.110000,0.000000,853.27,1216,77.660,2454966.245500,0,0.1974,0.005950,1.7980000,8.430000,0.00676,,,,,,,,5361.00,0.83,0.87,-0.070,[Fe/H],-0.198,4.55,4.370,2.81947,,,,19h15m19.54s,288.8314251,+47d33m07.11s,47.5519753,515.3340000,13.8344000
NN Ser c,NN Ser,2,2,Eclipse Timing Variations,2010,Multiple Instruments,5573.55000000,5.350000,12.600,1.130,2329.60000,7.33000,Mass,6.400000,0.080000,,,,,0,,,,,,,2454016.000000,43.0000,,,,WD,57000.00,,0.54,,,,,,,,,,15h52m56.09s,238.2337015,+12d54m43.51s,12.9120871,515.8180000,16.5905000
NN Ser d,NN Ser,2,2,Eclipse Timing Variations,2010,Multiple Instruments,2883.50000000,3.430000,13.300,1.190,731.00000,2.30000,Mass,1.710000,0.190000,,,,,0,,,,,,,2458106.000000,-111.0000,,,,WD,57000.00,,0.54,,,,,,,,,,15h52m56.09s,238.2337015,+12d54m43.51s,12.9120871,515.8180000,16.5905000
Kepler-783 b,Kepler-783,1,2,Transit,2016,Kepler CCD Array,4.29264638,0.049100,0.780,0.070,0.39900,0.00126,M-R relationship,4.620000,0.000000,229.10,991,87.620,2454967.797380,0,0.6400,0.006250,2.6220000,9.700000,0.00764,,,,,,,,5521.00,0.89,0.93,0.010,[Fe/H],-0.231,4.51,3.890,0.90656,,,,19h24m15.09s,291.0628615,+47d29m05.24s,47.4847890,516.0900000,13.9378000
Kepler-783 c,Kepler-783,1,2,Transit,2020,Kepler CCD Array,7.05395000,0.068400,2.332,0.208,6.04000,0.01900,M-R relationship,2.620000,0.000000,117.33,840,86.660,2454969.357253,0,0.9200,0.052110,1.7244000,34.220000,0.02097,,,,,,,,5411.49,0.87,0.94,-0.030,[M/H],-0.231,4.53,9.700,1.99808,,,,19h24m15.09s,291.0628615,+47d29m05.24s,47.4847890,516.0900000,13.9378000
K2-63 b,K2-63,1,2,Transit,2016,Kepler CCD Array,20.25700000,0.162700,3.220,0.287,10.50000,0.03290,M-R relationship,1.730000,,188.00,,,2456989.592900,0,0.2400,0.048100,5.4900000,26.600000,0.01800,,,,,,,,6771.00,1.63,1.40,,,0.219,4.15,,0.71318,,,-10.84,22h13m42.43s,333.4267738,-12d03m58.83s,-12.0663429,517.5340000,12.7269000
K2-63 c,K2-63,1,2,Transit,2016,Kepler CCD Array,25.45560000,0.189000,3.900,0.348,14.50000,0.04550,M-R relationship,1.340000,,139.00,,,2456983.645400,0,0.3500,0.079000,4.2400000,36.500000,0.02190,,,,,,,,6771.00,1.63,1.40,,,0.219,4.15,,0.71318,,,-10.84,22h13m42.43s,333.4267738,-12d03m58.83s,-12.0663429,517.5340000,12.7269000
Kepler-298 b,Kepler-298,1,3,Transit,2014,Kepler CCD Array,10.47546400,0.080000,1.960,0.175,4.50000,0.01420,M-R relationship,3.280000,0.000000,24.71,540,88.610,2454985.641560,0,0.4200,0.107070,2.3200000,34.090000,0.03110,,,,,,,,4465.00,0.58,0.66,-0.210,[Fe/H],-0.733,4.71,2.400,6.83183,,,,18h52m09.56s,283.0398448,+48d49m31.19s,48.8253303,518.2040000,15.4179000
Kepler-298 c,Kepler-298,1,3,Transit,2014,Kepler CCD Array,22.92881000,0.136000,1.930,0.172,4.38000,0.01380,M-R relationship,3.350000,0.000000,8.70,416,89.150,2455156.033720,0,0.5900,0.090890,2.3980000,42.000000,0.03117,,,,,,,,4465.00,0.58,0.66,-0.210,[Fe/H],-0.733,4.71,2.400,6.34932,,,,18h52m09.56s,283.0398448,+48d49m31.19s,48.8253303,518.2040000,15.4179000
Kepler-298 d,Kepler-298,1,3,Transit,2014,Kepler CCD Array,77.47363300,0.305000,2.500,0.223,6.80000,0.02140,M-R relationship,2.390000,0.000000,1.72,277,89.570,2455017.247350,0,0.7500,0.154360,4.4330000,95.000000,0.04065,,,,,,,,4465.00,0.58,0.66,-0.210,[Fe/H],-0.733,4.71,2.400,3.24928,,,,18h52m09.56s,283.0398448,+48d49m31.19s,48.8253303,518.2040000,15.4179000
Kepler-607 b,Kepler-607,1,2,Transit,2016,Kepler CCD Array,0.63816320,0.013500,0.870,0.078,0.59000,0.00186,M-R relationship,4.920000,0.000000,2302.61,1874,88.690,2454964.749090,0,0.2775,0.010970,1.1839000,4.024000,0.01018,,,,,,,,5196.00,0.80,0.84,-0.020,[Fe/H],-0.382,4.56,4.900,3.02639,,,,19h24m13.71s,291.0571451,+44d37m56.30s,44.6323060,519.1220000,14.3746000
Kepler-607 c,Kepler-607,1,2,Transit,2021,Kepler CCD Array,39.67679977,0.212200,2.760,0.246,8.05000,0.02530,M-R relationship,2.100000,0.000000,11.85,473,89.240,2455011.555600,0,0.9403,0.061120,5.0400000,20.700000,0.02366,,,,,,,,5244.00,0.89,0.81,0.020,[Fe/H],-0.382,4.45,4.900,1.33500,,,,19h24m13.71s,291.0571451,+44d37m56.30s,44.6323060,519.1220000,14.3746000
Kepler-199 b,Kepler-199,1,2,Transit,2014,Kepler CCD Array,23.63760400,0.158000,3.110,0.277,9.85000,0.03100,M-R relationship,1.800000,0.000000,31.68,595,89.970,2455005.648460,1,0.1500,0.117130,4.9540000,37.075000,0.02955,,,,,,,,5644.00,0.97,0.96,-0.120,[Fe/H],-0.097,4.44,1.450,1.70087,,,,19h42m14.26s,295.5594278,+40d14m10.50s,40.2362490,521.0540000,13.5973000
Kepler-199 c,Kepler-199,1,2,Transit,2014,Kepler CCD Array,67.09340800,0.316000,3.250,0.290,10.60000,0.03340,M-R relationship,1.700000,0.000000,7.88,420,88.930,2454979.565770,1,0.1300,0.129390,6.9310000,76.610000,0.03099,,,,,,,,5644.00,0.97,0.96,-0.120,[Fe/H],-0.097,4.44,1.450,1.88919,,,,19h42m14.26s,295.5594278,+40d14m10.50s,40.2362490,521.0540000,13.5973000
Kepler-107 b,Kepler-107,1,4,Transit,2014,Kepler CCD Array,3.18002180,0.045440,1.536,0.137,3.51000,0.01104,Mass,5.300000,0.000000,1175.38,1593,89.050,2455701.084140,0,0.1100,0.012190,3.6330000,2.740000,0.00973,,,,1.320,,,,5854.00,1.45,1.24,0.321,[Fe/H],0.364,4.21,4.290,0.57400,3.6000,20.30,5.64,19h48m06.76s,297.0281620,+48d12m30.97s,48.2086019,525.9970000,12.4627000
