# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep 19 09:09:12 2022
#
# User preference: *
#
# CONSTRAINT:  where (sy_pnum <> 1
# CONSTRAINT:  and sy_diststr not null)
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_plx:         Parallax [mas]
#
pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,pl_rvamp,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,sy_dist,sy_plx
Kepler-318 b,Kepler-318,1,2,4.66271500,0.056000,4.710,0.420,19.90000,0.06270,M-R relationship,1.050000,0.000000,333.15,1039,87.660,13.444000,0.03667,,,5746.00,1.19,1.02,0.332,[M/H],0.004,4.33,1.620,2.11450,,,,19h53m55.88s,298.4828337,+46d47m37.09s,46.7936357,489.1410000,2.0155500
Kepler-318 c,Kepler-318,1,2,11.81500700,0.105000,3.680,0.328,13.10000,0.04130,M-R relationship,1.440000,0.000000,96.51,762,87.150,36.756000,0.02857,,,5746.00,1.19,1.02,0.332,[M/H],0.004,4.33,1.620,1.79265,,,,19h53m55.88s,298.4828337,+46d47m37.09s,46.7936357,489.1410000,2.0155500
K2-350 b,K2-350,1,2,4.16387300,,1.540,0.137,2.99000,0.00940,M-R relationship,4.500000,,,1158,,10.680000,0.01350,,,5789.00,1.04,0.98,-0.020,[Fe/H],-0.012,4.39,,1.57032,,8.22,,13h36m08.52s,204.0355092,-14d00m33.31s,-14.0092516,489.3680000,2.0148400
K2-350 c,K2-350,1,2,19.99194400,,2.740,0.244,7.95000,0.02500,M-R relationship,2.120000,,,687,,28.710000,0.02390,,,5789.00,1.04,0.98,-0.020,[Fe/H],-0.012,4.39,,1.57032,,8.22,,13h36m08.52s,204.0355092,-14d00m33.31s,-14.0092516,489.3680000,2.0148400
Kepler-1530 b,Kepler-1530,1,3,2.59044340,0.037100,1.640,0.146,3.33000,0.01050,M-R relationship,4.150000,0.000000,353.56,1484,83.900,9.280000,0.01692,,,5477.00,0.88,0.92,0.030,[Fe/H],-0.311,4.52,4.270,2.25028,,,,19h12m38.99s,288.1624396,+48d09m54.55s,48.1651530,489.8760000,2.0125000
Kepler-1530 c,Kepler-1530,1,3,5.32274060,0.060000,1.650,0.147,3.36000,0.01060,M-R relationship,4.110000,0.000000,135.18,1167,85.110,9.420000,0.01686,,,5477.00,0.88,0.92,0.030,[Fe/H],-0.311,4.52,4.270,2.76538,,,,19h12m38.99s,288.1624396,+48d09m54.55s,48.1651530,489.8760000,2.0125000
Kepler-1530 d,Kepler-1530,1,3,9.20761013,0.086500,3.279,0.293,10.80000,0.03390,M-R relationship,1.680000,0.000000,211.08,972,85.300,10.960000,0.03443,,,5678.00,1.30,1.02,0.200,[Fe/H],-0.311,4.21,4.270,0.29352,,,,19h12m38.99s,288.1624396,+48d09m54.55s,48.1651530,489.8760000,2.0125000
Kepler-1050 b,Kepler-1050,1,2,15.37875460,0.131300,1.600,0.143,3.19000,0.01000,M-R relationship,4.280000,0.000000,62.02,1039,89.140,22.200000,0.01319,,,6010.00,1.13,1.09,0.030,[Fe/H],0.059,4.37,3.550,1.35078,,,,18h51m42.00s,282.9249847,+48d37m35.05s,48.6264015,490.4880000,2.0099300
Kepler-1050 c,Kepler-1050,1,2,21.12845690,0.162200,1.480,0.132,2.79000,0.00879,M-R relationship,4.730000,0.000000,40.64,935,89.480,42.540000,0.01216,,,6010.00,1.13,1.09,0.030,[Fe/H],0.059,4.37,3.550,1.35078,,,,18h51m42.00s,282.9249847,+48d37m35.05s,48.6264015,490.4880000,2.0099300
Kepler-103 b,Kepler-103,1,2,15.96540000,0.126900,3.370,0.301,9.70000,0.03100,Mass,1.380000,0.030000,150.54,872,88.110,27.471000,0.02150,2.320,,5845.00,1.44,1.09,0.070,[Fe/H],0.424,4.16,5.700,0.52000,2.5000,,-28.28,19h15m56.29s,288.9845512,+40d03m52.15s,40.0644857,494.8320000,1.9923000
Kepler-103 c,Kepler-103,1,2,179.61200000,0.637200,5.140,0.459,36.10000,0.11400,Mass,1.470000,0.020000,5.97,389,89.460,84.300000,0.03277,3.850,,5845.00,1.44,1.09,0.070,[Fe/H],0.424,4.16,5.700,0.52000,2.5000,,-28.28,19h15m56.29s,288.9845512,+40d03m52.15s,40.0644857,494.8320000,1.9923000
Kepler-198 b,Kepler-198,1,3,17.79003700,0.131000,2.820,0.252,8.35000,0.02630,M-R relationship,2.050000,0.000000,44.55,655,89.660,31.384000,0.02803,,,5574.00,0.94,0.97,0.114,[M/H],-0.109,4.47,3.720,1.84772,,,,19h22m41.55s,290.6731326,+38d41m27.62s,38.6910045,495.3580000,1.9899800
Kepler-198 c,Kepler-198,1,3,49.56741600,0.259000,2.470,0.220,6.66000,0.02100,M-R relationship,2.430000,0.000000,11.35,465,89.060,62.000000,0.02833,,,5574.00,0.94,0.97,0.114,[M/H],-0.109,4.47,3.720,1.12085,,,,19h22m41.55s,290.6731326,+38d41m27.62s,38.6910045,495.3580000,1.9899800
Kepler-198 d,Kepler-198,1,3,1.31184443,0.022900,1.530,0.136,2.96000,0.00930,M-R relationship,4.540000,0.000000,1444.52,1562,88.780,5.725000,0.01478,,,5636.00,0.93,0.97,0.040,[Fe/H],-0.109,4.49,3.720,2.06258,,,,19h22m41.55s,290.6731326,+38d41m27.62s,38.6910045,495.3580000,1.9899800
EPIC 220554210 c,K2-282,1,2,0.70531000,,1.600,0.143,3.19000,0.01000,M-R relationship,4.280000,,,,91.300,3.000000,0.01450,,,5499.00,1.00,0.94,-0.230,[Fe/H],-0.215,4.50,,1.44200,,,,00h53m43.72s,13.4321524,+07d59m43.05s,7.9952914,496.2890000,1.9862700
K2-282 b,K2-282,1,2,4.16978300,0.049900,2.500,0.223,6.80000,0.02140,M-R relationship,2.390000,,,1057,90.100,11.000000,0.02270,,,5499.00,1.00,0.95,-0.230,[Fe/H],-0.215,4.50,,1.44200,,,,00h53m43.72s,13.4321524,+07d59m43.05s,7.9952914,496.2890000,1.9862700
KOI-1831 d,Kepler-324,1,4,34.16900000,0.194900,1.130,0.101,2.23000,0.00702,Mass,9.950000,0.000000,11.67,475,89.620,57.900000,0.01223,,,5233.00,0.84,0.90,0.080,[Fe/H],-0.308,4.53,0.800,1.85161,,,,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.5740000,1.9648700
Kepler-324 b,Kepler-324,1,4,4.38531500,0.050000,1.140,0.102,1.55000,0.00489,M-R relationship,5.750000,0.000000,194.34,935,88.500,13.470000,0.01278,,,5194.00,0.84,0.87,0.030,[Fe/H],-0.308,4.53,0.800,2.04467,,,,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.5740000,1.9648700
Kepler-324 c,Kepler-324,1,4,51.80561200,0.260000,3.150,0.281,10.10000,0.03170,M-R relationship,1.780000,0.000000,7.23,410,89.750,23.100000,0.03030,,,5194.00,0.84,0.87,0.030,[Fe/H],-0.308,4.53,0.800,0.08711,,,,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.5740000,1.9648700
Kepler-324 e,Kepler-324,1,4,13.97939968,0.107400,2.039,0.182,4.81000,0.01510,M-R relationship,3.120000,0.000000,38.44,635,88.600,25.000000,0.01730,,,5191.00,0.83,0.84,0.080,[Fe/H],-0.308,4.53,0.800,5.19596,,,,19h05m53.15s,286.4714473,+49d38m56.74s,49.6490933,501.5740000,1.9648700
Kepler-319 b,Kepler-319,1,3,4.36270500,0.051000,1.630,0.145,3.29000,0.01040,M-R relationship,4.170000,0.000000,253.66,1023,86.030,15.420000,0.01663,,,5526.00,0.90,0.96,-0.015,[M/H],-0.181,4.49,3.550,3.64696,,,,19h15m14.87s,288.8119782,+39d46m14.32s,39.7706431,503.4360000,1.9576100
Kepler-319 c,Kepler-319,1,3,6.94135700,0.069000,2.630,0.235,7.41000,0.02330,M-R relationship,2.240000,0.000000,136.34,876,86.780,30.380000,0.02677,,,5526.00,0.90,0.96,-0.015,[M/H],-0.181,4.49,3.550,11.00889,,,,19h15m14.87s,288.8119782,+39d46m14.32s,39.7706431,503.4360000,1.9576100
Kepler-319 d,Kepler-319,1,3,31.78192500,0.191000,2.290,0.204,5.86000,0.01840,M-R relationship,2.680000,0.000000,17.96,528,89.850,29.600000,0.02341,,,5526.00,0.90,0.96,-0.015,[M/H],-0.181,4.49,3.550,3.14049,,,,19h15m14.87s,288.8119782,+39d46m14.32s,39.7706431,503.4360000,1.9576100
Kepler-121 b,Kepler-121,1,2,3.17742200,0.039000,2.340,0.209,6.08000,0.01910,M-R relationship,2.610000,0.000000,220.49,997,85.790,17.098000,0.03145,,,5311.00,0.70,0.86,-0.080,[Fe/H],-0.474,4.65,0.500,9.36513,,,,19h04m38.91s,286.1621273,+39d40m40.87s,39.6780204,510.5230000,1.9301600
Kepler-121 c,Kepler-121,1,2,41.00801100,0.216000,2.270,0.203,5.77000,0.01820,M-R relationship,2.710000,0.000000,7.30,425,88.720,39.200000,0.03424,,,5311.00,0.70,0.86,-0.080,[Fe/H],-0.474,4.65,0.500,0.77940,,,,19h04m38.91s,286.1621273,+39d40m40.87s,39.6780204,510.5230000,1.9301600
Kepler-241 b,Kepler-241,1,2,12.71809200,0.094000,2.330,0.208,6.04000,0.01900,M-R relationship,2.620000,0.000000,23.60,562,89.170,31.510000,0.03087,,,4699.00,0.67,0.67,0.031,[M/H],-0.607,4.63,13.900,2.98907,,,,19h31m39.15s,292.9131121,+41d03m39.52s,41.0609786,512.0000000,1.6397118
Kepler-241 c,Kepler-241,1,2,36.06597800,0.189000,2.570,0.229,7.13000,0.02240,M-R relationship,2.310000,0.000000,5.88,397,89.770,65.370000,0.03528,,,4699.00,0.67,0.67,0.031,[M/H],-0.607,4.63,13.900,3.78452,,,,19h31m39.15s,292.9131121,+41d03m39.52s,41.0609786,512.0000000,1.6397118
Kepler-112 b,Kepler-112,1,2,8.40887800,0.076000,2.360,0.211,6.17000,0.01940,M-R relationship,2.580000,0.000000,123.82,809,89.950,18.850000,0.02603,,,5544.00,0.84,0.78,-0.522,[M/H],-0.086,4.51,9.400,1.75510,,,,19h47m55.47s,296.9811361,+43d12m34.93s,43.2097025,513.2060000,1.9197600
Kepler-112 c,Kepler-112,1,2,28.57426300,0.172000,2.400,0.214,6.35000,0.02000,M-R relationship,2.520000,0.000000,24.25,538,89.910,45.220000,0.02682,,,5544.00,0.84,0.78,-0.522,[M/H],-0.086,4.51,9.400,2.14286,,,,19h47m55.47s,296.9811361,+43d12m34.93s,43.2097025,513.2060000,1.9197600
Kepler-1371 b,Kepler-1371,1,2,3.44620390,0.039300,0.730,0.065,0.31500,0.00099,M-R relationship,4.450000,0.000000,414.76,1015,85.560,13.050000,0.00818,,,5361.00,0.83,0.87,-0.070,[Fe/H],-0.198,4.55,4.370,3.54402,,,,19h15m19.54s,288.8314251,+47d33m07.11s,47.5519753,515.3340000,1.9117900
Kepler-1371 c,Kepler-1371,1,2,2.00541269,0.027400,0.640,0.057,0.19600,0.00062,M-R relationship,4.110000,0.000000,853.27,1216,77.660,8.430000,0.00676,,,5361.00,0.83,0.87,-0.070,[Fe/H],-0.198,4.55,4.370,2.81947,,,,19h15m19.54s,288.8314251,+47d33m07.11s,47.5519753,515.3340000,1.9117900
NN Ser c,NN Ser,2,2,5573.55000000,5.350000,12.600,1.130,2329.60000,7.33000,Mass,6.400000,0.080000,,,,,,,WD,57000.00,,0.54,,,,,,,,,,15h52m56.09s,238.2337015,+12d54m43.51s,12.9120871,515.8180000,1.9166400
NN Ser d,NN Ser,2,2,2883.50000000,3.430000,13.300,1.190,731.00000,2.30000,Mass,1.710000,0.190000,,,,,,,WD,57000.00,,0.54,,,,,,,,,,15h52m56.09s,238.2337015,+12d54m43.51s,12.9120871,515.8180000,1.9166400
Kepler-783 b,Kepler-783,1,2,4.29264638,0.049100,0.780,0.070,0.39900,0.00126,M-R relationship,4.620000,0.000000,229.10,991,87.620,9.700000,0.00764,,,5521.00,0.89,0.93,0.010,[Fe/H],-0.231,4.51,3.890,0.90656,,,,19h24m15.09s,291.0628615,+47d29m05.24s,47.4847890,516.0900000,1.9088700
Kepler-783 c,Kepler-783,1,2,7.05395000,0.068400,2.332,0.208,6.04000,0.01900,M-R relationship,2.620000,0.000000,117.33,840,86.660,34.220000,0.02097,,,5411.49,0.87,0.94,-0.030,[M/H],-0.231,4.53,9.700,1.99808,,,,19h24m15.09s,291.0628615,+47d29m05.24s,47.4847890,516.0900000,1.9088700
K2-63 b,K2-63,1,2,20.25700000,0.162700,3.220,0.287,10.50000,0.03290,M-R relationship,1.730000,,188.00,,,26.600000,0.01800,,,6771.00,1.63,1.40,,,0.219,4.15,,0.71318,,,-10.84,22h13m42.43s,333.4267738,-12d03m58.83s,-12.0663429,517.5340000,1.9068900
K2-63 c,K2-63,1,2,25.45560000,0.189000,3.900,0.348,14.50000,0.04550,M-R relationship,1.340000,,139.00,,,36.500000,0.02190,,,6771.00,1.63,1.40,,,0.219,4.15,,0.71318,,,-10.84,22h13m42.43s,333.4267738,-12d03m58.83s,-12.0663429,517.5340000,1.9068900
Kepler-298 b,Kepler-298,1,3,10.47546400,0.080000,1.960,0.175,4.50000,0.01420,M-R relationship,3.280000,0.000000,24.71,540,88.610,34.090000,0.03110,,,4465.00,0.58,0.66,-0.210,[Fe/H],-0.733,4.71,2.400,6.83183,,,,18h52m09.56s,283.0398448,+48d49m31.19s,48.8253303,518.2040000,1.9012100
Kepler-298 c,Kepler-298,1,3,22.92881000,0.136000,1.930,0.172,4.38000,0.01380,M-R relationship,3.350000,0.000000,8.70,416,89.150,42.000000,0.03117,,,4465.00,0.58,0.66,-0.210,[Fe/H],-0.733,4.71,2.400,6.34932,,,,18h52m09.56s,283.0398448,+48d49m31.19s,48.8253303,518.2040000,1.9012100
Kepler-298 d,Kepler-298,1,3,77.47363300,0.305000,2.500,0.223,6.80000,0.02140,M-R relationship,2.390000,0.000000,1.72,277,89.570,95.000000,0.04065,,,4465.00,0.58,0.66,-0.210,[Fe/H],-0.733,4.71,2.400,3.24928,,,,18h52m09.56s,283.0398448,+48d49m31.19s,48.8253303,518.2040000,1.9012100
Kepler-607 b,Kepler-607,1,2,0.63816320,0.013500,0.870,0.078,0.59000,0.00186,M-R relationship,4.920000,0.000000,2302.61,1874,88.690,4.024000,0.01018,,,5196.00,0.80,0.84,-0.020,[Fe/H],-0.382,4.56,4.900,3.02639,,,,19h24m13.71s,291.0571451,+44d37m56.30s,44.6323060,519.1220000,1.8976300
Kepler-607 c,Kepler-607,1,2,39.67679977,0.212200,2.760,0.246,8.05000,0.02530,M-R relationship,2.100000,0.000000,11.85,473,89.240,20.700000,0.02366,,,5244.00,0.89,0.81,0.020,[Fe/H],-0.382,4.45,4.900,1.33500,,,,19h24m13.71s,291.0571451,+44d37m56.30s,44.6323060,519.1220000,1.8976300
Kepler-199 b,Kepler-199,1,2,23.63760400,0.158000,3.110,0.277,9.85000,0.03100,M-R relationship,1.800000,0.000000,31.68,595,89.970,37.075000,0.02955,,,5644.00,0.97,0.96,-0.120,[Fe/H],-0.097,4.44,1.450,1.70087,,,,19h42m14.26s,295.5594278,+40d14m10.50s,40.2362490,521.0540000,1.8904000
Kepler-199 c,Kepler-199,1,2,67.09340800,0.316000,3.250,0.290,10.60000,0.03340,M-R relationship,1.700000,0.000000,7.88,420,88.930,76.610000,0.03099,,,5644.00,0.97,0.96,-0.120,[Fe/H],-0.097,4.44,1.450,1.88919,,,,19h42m14.26s,295.5594278,+40d14m10.50s,40.2362490,521.0540000,1.8904000
Kepler-107 b,Kepler-107,1,4,3.18002180,0.045440,1.536,0.137,3.51000,0.01104,Mass,5.300000,0.000000,1175.38,1593,89.050,2.740000,0.00973,1.320,,5854.00,1.45,1.24,0.321,[Fe/H],0.364,4.21,4.290,0.57400,3.6000,20.30,5.64,19h48m06.76s,297.0281620,+48d12m30.97s,48.2086019,525.9970000,1.8724900
Kepler-107 c,Kepler-107,1,4,4.90145200,0.060640,1.597,0.142,9.39000,0.02954,Mass,12.650000,0.000000,659.65,1379,89.490,3.650000,0.01012,3.060,,5854.00,1.45,1.24,0.321,[Fe/H],0.364,4.21,4.290,0.57400,3.6000,20.30,5.64,19h48m06.76s,297.0281620,+48d12m30.97s,48.2086019,525.9970000,1.8724900
Kepler-107 d,Kepler-107,1,4,7.95839000,0.083770,0.860,0.077,3.80000,0.01196,Mass,33.100000,0.000000,346.11,1173,87.550,5.050000,0.00544,1.060,,5854.00,1.45,1.24,0.321,[Fe/H],0.364,4.21,4.290,0.57400,3.6000,20.30,5.64,19h48m06.76s,297.0281620,+48d12m30.97s,48.2086019,525.9970000,1.8724900
Kepler-107 e,Kepler-107,1,4,14.74914300,0.126390,2.903,0.259,8.60000,0.02706,Mass,2.000000,0.000000,151.94,955,89.670,7.620000,0.01839,1.950,,5854.00,1.45,1.24,0.321,[Fe/H],0.364,4.21,4.290,0.57400,3.6000,20.30,5.64,19h48m06.76s,297.0281620,+48d12m30.97s,48.2086019,525.9970000,1.8724900
Kepler-176 b,Kepler-176,1,4,5.43307400,0.058000,1.430,0.128,2.63000,0.00829,M-R relationship,4.940000,0.000000,123.80,841,86.690,17.720000,0.01476,,,5232.00,0.89,0.79,0.160,[Fe/H],-0.404,4.47,13.700,3.56337,,,,19h38m40.30s,294.6679021,+43d51m11.56s,43.8532104,527.3210000,1.8677700
Kepler-176 c,Kepler-176,1,4,12.75971200,0.102000,2.600,0.232,23.00000,0.07200,Mass,7.190000,0.000000,39.63,633,88.250,27.650000,0.02760,,,5232.00,0.89,0.79,0.160,[Fe/H],-0.404,4.47,13.700,2.45566,,,,19h38m40.30s,294.6679021,+43d51m11.56s,43.8532104,527.3210000,1.8677700
Kepler-176 d,Kepler-176,1,4,25.75197400,0.163000,2.510,0.224,15.20000,0.04800,Mass,5.280000,0.000000,15.54,501,89.530,34.000000,0.03027,,,5232.00,0.89,0.79,0.160,[Fe/H],-0.404,4.47,13.700,7.12817,,,,19h38m40.30s,294.6679021,+43d51m11.56s,43.8532104,527.3210000,1.8677700
Kepler-176 e,Kepler-176,1,4,51.16579000,0.249400,1.450,0.129,2.70000,0.00849,M-R relationship,4.870000,0.000000,6.22,398,89.080,51.100000,0.01605,,,5295.00,0.83,0.87,0.030,[Fe/H],-0.404,4.55,4.680,3.09428,,,,19h38m40.30s,294.6679021,+43d51m11.56s,43.8532104,527.3210000,1.8677700
Kepler-36 b,Kepler-36,1,2,13.86825000,0.115300,1.498,0.134,3.83000,0.01205,Mass,6.260000,0.000000,247.00,978,90.010,10.111000,0.00838,,,5979.00,1.63,1.03,-0.180,[Fe/H],0.510,4.10,4.790,0.35080,4.9000,,9.39,19h25m00.04s,291.2501859,+49d13m54.51s,49.2318073,527.9560000,1.8654300
Kepler-36 c,Kepler-36,1,2,16.21865000,0.128300,3.679,0.328,7.13000,0.02243,Mass,0.787000,0.000000,191.00,928,89.360,16.690000,0.02062,,,5979.00,1.63,1.03,-0.180,[Fe/H],0.510,4.10,4.790,0.35080,4.9000,,9.39,19h25m00.04s,291.2501859,+49d13m54.51s,49.2318073,527.9560000,1.8654300
Kepler-466 b,Kepler-466,1,2,51.07926307,0.267100,2.850,0.254,8.50000,0.02670,M-R relationship,2.020000,0.000000,15.17,503,89.980,62.716000,0.02468,,,5927.00,1.05,1.04,-0.010,[Fe/H],-0.067,4.42,3.470,1.79031,,,0.30,19h42m35.68s,295.6486585,+48d29m43.87s,48.4955191,530.1220000,2.6069041
Kepler-466 c,Kepler-466,1,2,3.70921385,0.046500,1.250,0.112,2.10000,0.00660,M-R relationship,5.910000,0.000000,500.46,1206,89.730,10.888000,0.01055,,,5927.00,1.05,1.04,-0.010,[Fe/H],-0.067,4.42,3.470,1.77451,,,0.30,19h42m35.68s,295.6486585,+48d29m43.87s,48.4955191,530.1220000,2.6069041
Kepler-415 b,Kepler-415,1,2,4.17600000,0.042600,1.210,0.108,119.90000,0.37700,Mass,372.000000,0.000000,69.83,694,89.410,13.820000,0.02040,,,4362.00,0.64,0.67,0.010,[Fe/H],-0.805,4.62,4.900,2.40794,,,,19h35m13.08s,293.8045041,+38d38m20.59s,38.6390517,530.4870000,1.8574000
Kepler-415 c,Kepler-415,1,2,8.70800000,0.069500,2.010,0.201,4.70000,0.01480,M-R relationship,3.180000,0.000000,26.24,543,89.870,27.560000,0.03732,,,4362.00,0.64,0.67,0.010,[Fe/H],-0.805,4.62,4.900,4.88423,,,,19h35m13.08s,293.8045041,+38d38m20.59s,38.6390517,530.4870000,1.8574000
Kepler-1669 b,Kepler-1669,1,2,9.51216000,0.074500,2.780,0.248,8.15000,0.02560,M-R relationship,2.080000,0.000000,18.66,530,89.700,25.170000,0.03933,,,4303.00,0.71,0.67,-0.230,[Fe/H],-0.803,4.56,13.900,2.59347,,,,19h49m43.29s,297.4303826,+39d50m52.37s,39.8478795,543.4440000,1.8123200
Kepler-1669 c,Kepler-1669,1,2,1.60932005,0.022800,1.901,0.170,4.27000,0.01340,M-R relationship,3.410000,0.000000,199.28,958,89.890,8.056000,0.02953,,,4224.00,0.60,0.61,-0.200,[Fe/H],-0.803,4.66,13.900,3.54074,,,,19h49m43.29s,297.4303826,+39d50m52.37s,39.8478795,543.4440000,1.8123200
NY Vir b,NY Vir,2,2,3160.00000000,3.300000,13.300,1.190,730.97800,2.30000,Mass,1.710000,0.150000,,,,,,,,32780.00,0.15,0.46,,,1.375,5.74,,187.95240,,,,13h38m48.14s,204.7005847,-02d01m49.39s,-2.0303873,544.0240000,1.8116100
NY Vir c,NY Vir,2,2,8799.00000000,,12.800,1.140,1760.77820,5.54000,Msini,4.610000,0.150000,,,,,,,,32780.00,0.15,0.46,,,1.375,5.74,,187.95240,,,,13h38m48.14s,204.7005847,-02d01m49.39s,-2.0303873,544.0240000,1.8116100
Kepler-309 b,Kepler-309,1,2,5.92365300,0.059000,1.560,0.139,3.05000,0.00961,M-R relationship,4.410000,0.000000,99.49,531,89.850,17.510000,0.01829,,M0 V,4713.00,0.72,0.67,0.110,[Fe/H],-0.574,4.61,3.020,2.80440,,,,19h50m02.37s,297.5098911,+46d57m41.08s,46.9614121,544.5680000,1.8076600
Kepler-309 c,Kepler-309,1,2,105.35638300,0.401000,2.510,0.224,6.85000,0.02150,M-R relationship,2.380000,0.000000,2.14,204,89.710,79.000000,0.03912,,M0 V,4713.00,0.72,0.67,0.110,[Fe/H],-0.574,4.61,3.020,4.45517,,,,19h50m02.37s,297.5098911,+46d57m41.08s,46.9614121,544.5680000,1.8076600
Kepler-142 b,Kepler-142,1,3,2.02415200,0.032000,1.990,0.178,4.62000,0.01450,M-R relationship,3.220000,0.000000,1247.91,1597,84.560,4.880000,0.01489,,,5790.00,1.27,0.99,0.080,[Fe/H],0.107,4.26,8.200,0.77079,,,,19h40m28.56s,295.1190067,+48d28m52.91s,48.4813635,548.6860000,1.7936900
Kepler-142 c,Kepler-142,1,3,4.76170200,0.057000,2.860,0.255,8.55000,0.02690,M-R relationship,2.010000,0.000000,399.44,1201,87.890,11.218000,0.02046,,,5790.00,1.27,0.99,0.080,[Fe/H],0.107,4.26,8.200,1.17774,,,,19h40m28.56s,295.1190067,+48d28m52.91s,48.4813635,548.6860000,1.7936900
Kepler-142 d,Kepler-142,1,3,41.80911800,0.242000,2.160,0.193,5.31000,0.01670,M-R relationship,2.900000,0.000000,22.07,582,89.980,41.480000,0.01252,,,5790.00,1.27,0.99,0.080,[Fe/H],0.107,4.26,8.200,0.77217,,,,19h40m28.56s,295.1190067,+48d28m52.91s,48.4813635,548.6860000,1.7936900
Kepler-338 b,Kepler-338,1,4,13.72697600,0.117000,2.440,0.218,30.60000,0.09600,Mass,11.600000,0.040000,256.61,1005,89.900,14.474700,0.01341,,,5923.00,1.74,1.20,-0.029,[M/H],0.586,4.02,4.790,0.21664,,,-15.36,18h51m54.97s,282.9790593,+40d47m03.91s,40.7844188,552.7980000,1.7803400
Kepler-338 c,Kepler-338,1,4,24.31085600,0.172000,2.340,0.209,6.08000,0.01910,M-R relationship,2.610000,0.030000,119.65,831,89.610,20.922000,0.01242,,,5923.00,1.74,1.20,-0.029,[M/H],0.586,4.02,4.790,0.30621,,,-15.36,18h51m54.97s,282.9790593,+40d47m03.91s,40.7844188,552.7980000,1.7803400
Kepler-338 d,Kepler-338,1,4,44.43101400,0.257000,3.000,0.268,9.27000,0.02920,M-R relationship,1.890000,0.030000,53.56,680,89.960,25.100000,0.01492,,,5923.00,1.74,1.20,-0.029,[M/H],0.586,4.02,4.790,0.21664,,,-15.36,18h51m54.97s,282.9790593,+40d47m03.91s,40.7844188,552.7980000,1.7803400
Kepler-338 e,Kepler-338,1,4,9.34100000,0.089300,1.560,0.139,8.50000,0.02700,Mass,12.300000,0.050000,428.52,1143,87.490,8.890000,0.00844,,,5999.00,1.74,1.14,-0.029,[M/H],0.586,4.02,4.790,0.21664,,,-15.36,18h51m54.97s,282.9790593,+40d47m03.91s,40.7844188,552.7980000,1.7803400
Kepler-354 b,Kepler-354,1,3,5.47666000,0.054000,1.840,0.164,4.04000,0.01270,M-R relationship,3.560000,0.000000,64.84,741,85.820,13.120000,0.02603,,,4648.00,0.67,0.65,-0.030,[Fe/H],-0.714,4.63,13.800,0.79950,,,,19h03m00.37s,285.7515347,+41d20m08.43s,41.3356739,554.0640000,1.7763300
